,path,file_name,file_size_Mb,last_access,last_modified,created_on
20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY4_Rutvi_Evaluation3_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY4_Rutvi_Evaluation3_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY5_Rutvi_Evaluation2_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY5_Rutvi_Evaluation2_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied N2.pptx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied N2.pptx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_MCF10a_HER2_shC or shY_ DAPI_GFP N2 P13 Compiled day 2-5 analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501_MCF10a_HER2_shC or shY_ DAPI_GFP N2 P13 Compiled day 2-5 analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day2_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day2_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day3_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day3_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day4_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day4_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day5_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190501_MCF10a_HER2_shC or shY_DAPI_EGFP_N2_P13_Day5_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190508 MCF0a HER2 shC or shY DAPI EGFP N3 compiled.pptx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508 MCF0a HER2 shC or shY DAPI EGFP N3 compiled.pptx,data_not_available,data_not_available,data_not_available,data_not_available
20190508_DAPI_GFP N3 P14 Compiled day 2-5 Analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508_DAPI_GFP N3 P14 Compiled day 2-5 Analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day2_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day2_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
